LEMMA,TAG,PRECEDING,CONSTRUCTION,FOLLOWING,CONSTRUCTION_NAME,CONSTRUCTION_DETAILS,PERSONAL_NAME,ANIMACY (PSR),ANIMACY (PSE),ALIENABILITY,POSSESSIVE (?),,Word order,,,
bær,nkeþg,» Annan dag eftir var blásið til móts í,bænum,og sagt að konungur vill tala við bæjarmenn og kaupmenn,pre-dat,í,,,,,X,,,,,
land,nhfe,Flýðu flestir yfir á Katanes til Þorfinns jarls en sumir flýðu úr Orkneyjum til Noregs en sumir til ýmissa,landa,,pre-gen,til,,,,,X,gov (til),,,,
ferð,nveþ,Og þegar er þeir voru á,ferð,komnir þá reið hann mjög og ætlaði sér varla hóf um og þraut hestinn undir honum,pre-dat,á,,,,,X,,,,,
tíðindi,nhfþ,« Nú skuluð þér vera haldinorðir og segja ekki frá,tíðindum,þeim er gerst höfðu,pre-dat,frá,,,,,X,,,tið,,
faðir,nkee,» Hann gerir eftir ráðum,föður,síns og fer utan,gen,ur,,Y,N,Abs,,,2,,,
bak,nheþ,« Þó að það væri á,baki,að eg sæi aldrei Ketilríði héðan af þá vildi eg það þó heldur en gera Hólmkeli nokkuð mein og lítt myndi eg honum þá dyggð er hann hefir mér veitta,pre-dat,á,,Y,Y,N,,,,,,
hús,nheþ,fór Oddur frá,húsi,til laugar í Reykjaholt,pre-dat,frá,,,,,X,,,,,
maður,nkfe,Það sama vor fór Snorri goði suður til Borgarfjarðar í málatilbúnað eftir víg Styrs við fjögur hundruð,manna,,pre-gen,til,,,,,PART - 400,,,,,
maður,nkfe,komu með sex hundruð,manna,til Skúrbága og hvarf Sigurður aftur með fjögur hundruð manna og þótti síðan lítils verður og lifði skamma stund,gen,na,,,,,PART - 600,,,,,
konungur,nkee,Varð eg fyrir mönnum Ólafs,konungs,snemma á hausti norður í Þrándheimi,gen,s,+PN,Y,Y,Y,,,2,,,
skip,nhee,Helgi rennur nú til,skips,þeirra sem hann má hvatast,pre-gen,til,,,,,X,gov (til),,,,
hönd,nveþ,buklara í annarri,hendi,,pre-dat,í,,Y,N,Y,,,,,,
þorvarður,nkeþ-s,Var hann sendur af,Þorvarði,að leita um sættir,pre-dat,af,+PN,,,,X,,,,,
þing,nheþ,» Ríður Gunnar heim af,þingi,,pre-dat,af,,,,,X,,,,,
hönd,nveþ,og hlaupast að móti og heggur Húnröður til Odds og verður hann sár á,hendi,,pre-dat,á,+PN,Y,Y,N,,,,,,
skip,nheþg,Og er drekann bar fram hjá,skipinu,því er Þormóður var á þá kallaði maður af drekanum,pre-dat,hjá,,,,,X,,,,,
konungur,nkee,Það fylgdi og orðsending að jarl skyldi koma á fund Haralds,konungs,,gen,s,+PN,Y,N,Abs,,,2,,,
skip,nhee,Gísli reið suður með sjó alla leið til,skips,og fundust þeir Grettir aldrei síðan og þótti öngvum til hans koma upp frá því og er hann úr sögunni,pre-gen,til,,,,,X,gov (til),,,,
vinur,nkfe,Em eg og þess fúsari að hafa slíkan dauðdaga sem frændur mínir en eigi vil eg yður leiða í svo mikið vandkvæði með einræði mínu því að mér er kunnigt skaplyndi frænda minna og,vina,,gen,na,,Y,Y,N,,,2,,,
fundur,nkee,Knútur konungur bað þau orð segja jarli að hann safnaði her og skipum og færi svo til,fundar,við konung en ræddi síðan um sættir sínar,pre-gen,til,,,,,X,gov (til),,,,
hönd,nvfe,Þessarar konu ætla eg þér til,handa,að biðja því að þessi kostur er albestur í öllum Borgarfirði og þó víðara væri,pre-gen,til,,,,,X,gov (til),,,,
kona,nvfe,Synir hans og þeirra,kvenna,voru þeir Þorgrímur,gen,na,,Y,Y,N,,,1,,,
ferð,nveþ,Síðan fóru þeir Egill leið sína og er ekki sagt að til tíðinda yrði í,ferð,þeirra áður þeir komu til Þorsteins,pre-dat,í,,,,,X,,,,,
maður,nkfe,» Eftir viðurtal þeirra bræðra gera þeir allir bræður heiman ferð sína með mikinn flokk,manna,og stefna á Upplönd þangað sem þeir spurðu að Sigurður konungur var á veislu,gen,na,,N,Y,Abs,PART - flokk,,,,,
hönd,nvfþ,En af sel eg þá vanda mér af,höndum,hversu sem gefst,pre-dat,af,,Y,Y,N,,,,,,
bú,nheþ,Hafði hann mannmargt með sér og hélt sér vel upp og hafði risnu mikla í,búi,,pre-dat,í,,,,,X,,,,,
ferð,nvee,Þorsteinn lést búinn þeirrar,ferðar,,gen,ar,,N,N,Abs,,,2,,,
hestur,nkee,En Gunnar gengur til,hests,síns og mælti við Kolskegg,pre-gen,til,,,,,X,gov (til),,,,
mál,nheþg,en sá er einn maðurinn í,málinu,er eg ann hins versta hlutarins af þar sem er Hermundur af Gilsbakka,pre-dat,í,,,,,X,,,,,
fé,nheþ,Ólafur var stórauðigur að,fé,,pre-dat,að,,,,,X,,,,,
hús,nhfþg,En eldur fékkst eigi heima þar og var sóttur á Grund ofan en sumir brutu ofan fjós og hlöðu og báru að hey að,húsunum,og kveiktu síðan eld fyrir durunum,pre-dat,að,,,,,X,,,,,
ferð,nvee,Þeir bræður réðust til,ferðar,með honum,pre-gen,til,,Y,N,Abs,,gov (til),,,,
konungur,nkee,Hann þekktist þetta því að hann hafði ekki herjað á ríki Granmars,konungs,,gen,s,,Y,N,N,,,2,,,
þing,nhee,Kolbeinn reið heim af þingi og lauk Magnús biskup öngum gerðum upp með þeim Sighvati því að Sighvatur kom ekki til,þings,,pre-gen,til,,,,,X,gov (til),,,,
maður,nkfe,og svo mikinn skal eg þinn sóma gera að það sé allra,manna,mál að þú sért vel sæmdur af,gen,na,,Y,N,Abs,,,1,,,
bak,nheþ,» Þá hljóp hann af,baki,og hjó til Einars,pre-dat,af,,Y,Y,N,,,,,,
vetur,nkeþ,Hélt hann teknum hætti og hafði þrjár veislur á hverjum,vetri,sem faðir hans hafði haft,pre-dat,á,,,,,X,,,,,
lið,nheþ,Og er sá nú allur einn í þínu,liði,er nú hefur eigi höfuðs og hinn er þá eggjaði hins versta verks er eigi var fram komið,pre-dat,í,,,,,X,,!,,,
land,nheþ,Síðan fór hann á skip og lét frá,landi,,pre-dat,frá,,,,,X,,,,,
eyjólfur,nkee-s,Sonur,Eyjólfs,og Valgerðar Gamladóttur var Guðlaugur,gen,s,+PN,Y,Y,N,,,,,,
snorri,nkee-s,Þá reiddi Steinþór upp sverðið og hjó á hönd,Snorra,goða og varð þar við brestur mikill,gen,a,+PN,Y,Y,N,,,2,á hönd ,,
hönd,nveþ,» Engi maður veitti svör máli hans og er Þormóður sá að engi fengust ráð af þeirra,hendi,þá mælti hann,pre-dat,af,,Y,Y,N,,,,,,
hús,nhfe,Fór hann sem skyndilegast norður til Þrándheims því að honum þótti þar vera allt megin En er Ólafur konungur kom í Þrándheim þá varð þar engi uppreist í móti honum og var hann þar til konungs tekinn og settist þar um haustið í Niðarósi og bjó þar til veturvistar og lét þar,húsa,konungsgarð og reisa þar Klemenskirkju í þeim stað sem nú stendur hún,pre-gen,til,,,,,X,gov (í móti),,,,
þing,nheþ,» Gunnar kom heim af,þingi,og taldi á Hallgerði,pre-dat,af,,,,,X,,,,,
