LEMMA,TAG,SENTENCE,,
bak,nheo,Ölvir reiddi upp öxina og laust fremri hyrnu barkann og féll sá opinn á,bak,aftur
bak,nheo,þeir stíga þá á,bak,Inni- Krák
bak,nheþ,» Síðan sté Þórður af,baki,og fylgdi húsfreyja honum í eitt útibúr en bóndi tók af hesti hans
bak,nheo,Þá drógu þeir hann milli sín til skógar og bundu hendur hans á,bak,aftur
bak,nheo,En Sturla kvaðst eigi nenna að svo búnu að brjóta eiða sína og svo margra manna sem í voru með honum en skammt mun líða áður Norðlendingar brjóta við mig og skal mín þá eigi á,bak,að leita
bak,nheþ,og féll hann af,baki,og lestist fótur hans
bak,nheo,taka nú hesta sína og fara nú á,bak,og sjá eigi færi sitt á Vémundi að sinni og þótti Steingrími það ráðlegt að þeir sneru heimleiðis en þeir Gnúpur og Steinn svöruðu að aldrei vildu þeir við þetta heim snúa og þóttust vita hæðileg orð Vémundar við þá ef þeir snúa aftur við þetta og kváðu nú vænna að snúa til Mývatns að drepa Herjólf síðan þeir náðu eigi Vémundi
bak,nheþ,Hann reið í gryfju nakkverja og féll hesturinn undir honum en hann af,baki,og varð honum meint við
bróðir,nken,er átt hafði Herjólfur,bróðir,hans
bróðir,nkfþ,Sá var máldagi með þeim,bræðrum,og Freydísi að hvorir skyldu hafa þrjá tigi vígra manna á skipi og konur umfram
bróðir,nkfn,Grímur kvaðst hyggja að eigi mundi tjóa að brjótast við forlögunum « og ætla eg nú í sumar til Íslands og við báðir,bræður,og láta sér nú það margir sóma þótt göfgir séu
bróðir,nkfn,Þeir,bræður,fóru skjótt á konungs fund
bróðir,nken,Þórarinn,bróðir,Glúms taldi á við hann er hann lét Þjóstólf þar vera og kvað illa gefast mundu og fara enn sem fyrr ef hann væri þar
bróðir,nkfn,Þar féll Gamli Eiríksson en aðrir,bræður,hans náðu skipunum og héldu brott síðan með það lið er eftir var og héldu síðan suður til Danmarkar
bróðir,nken,Halldór greppur og Erlingur,bróðir,hans
bróðir,nkeo,,bróður,Hálfdanar svarta
bróðir,nken,» Gekk Eyvindur þá fram og Álfur,bróðir,hans með honum og hjuggu til beggja handa og létu sem óðir eða galnir væru
bróðir,nkeo,Þá fór Grímur bróðir hans frá búi sínu og til móts við,bróður,sinn og voru á vetrum með Þorkatli í Krossavík
bróðir,nkeþ,Svo er sagt að annað sumar eftir kom Skúta til Íslands og var hann með Þorsteini,bróður,sínum um veturinn og var löngum hljóður á þeim vetri og þykir sér nærri höggvið hafa verið og þóttist engar bætur haft hafa fyrir víg föður síns
bróðir,nkeo,Þótti honum hinn mesti skaði eftir Sighvat,bróður,sinn sem var þó að þeir bæru eigi gæfu til samþykkis stundum sín á milli
bróðir,nken,Kálfur hét,bróðir,hans
bróðir,nkfn,Þá komu til liðs við hann,bræður,tveir
bróðir,nkfþ,Bárður bauð þeim,bræðrum,heim til sín
bróðir,nkeþ,Og nú geta menn þess til er sjá skipið að Gísli muni drukknaður vera er skipið er brotið og rekið á land og muni tekið hafa frá Þorkeli,bróður,sínum
bróðir,nkeo,Nú voru Þorsteini orð send að hann kæmi til fundar við,bróður,sinn Grím í Vík
bróðir,nkfn,Lauk svo þeirra viðskiptum að þeir,bræður,tveir sigruðu hina ellefu
bróðir,nken,Vigfús,bróðir,hennar svarar
bróðir,nkeo,Þá drapstu,bróður,hans og viltu það nú engu bæta
bróðir,nkfn,Þeir sátu lengi tveir á máli en það kom upp úr hjali þeirra að þeir skyldu hittast í Björgyn allir,bræður,eftir um sumarið
bróðir,nken,» Sigurður kvaðst eigi þolað hafa lengur atgang þeirra en ... ...,bróðir,Jóreiðar
bróðir,nken,» Ganga þeir nú út úr búðinni en Brandur Ávaldsson,bróðir,Kolfinnu lá á búðarveggnum
bróðir,nken,Sögðu þeir róstusamlegt úr fjörðum og létust eigi vita hve Þórður,bróðir,þeirra mundi undan setja
bróðir,nkfþ,En þeim,bræðrum,Guðmundar þótti sín eign og unnu Eyjólfi illa að njóta en þeir mjög féþurfa
bróðir,nken,Björn,bróðir,hans var áburðarmaður mikill er hann kom út og hélt sig vel því að hann hafði samið sig eftir sið útlenskra höfðingja
bróðir,nkfn,» Síðan kvaddi hann til ferðar með sér,bræður,sína tvo og húskarla þrjá
bróðir,nkfn,Þeir,bræður,hittu Ófeig og báðu hann fara til leiðar og kölluðust réttu að fylgja þótt þeir hefðu þann óhelgað er fyrstur fór með vélræði og kom fyrr út en mælt var
bróðir,nkfn,Stefndi hann þing og lét gera þá,bræður,útlaga fyrir endilangan Noreg en kastaði sinni eign á þeirra eignir
bróðir,nken,þriðji Þorbjörn tálkni og,bróðir,hans
bróðir,nken,Var í þeim flokki tignastur maður Haraldur Sigurðarson,bróðir,Ólafs konungs
bróðir,nkfn,og þótti Þorvarði bróður hans mikill skaði og mörgum öðrum þó að þeir,bræður,bæru eigi með öllu auðnu til samþykkis
bróðir,nkfþ,Þorkell var ýmist þann vetur á Kárnsá með,bræðrum,sínum eða með öðrum frændum sínum því að allir vildu honum veita nokkura ásjá og hugðu gott til að nokkur þroski yrði hans í þeirri sveit svo að eigi settust þar utanhéraðsmenn yfir þá
bróðir,nkfn,» Þeir bjuggust heiman,bræður,einn dag og voru hálfur þriðji tugur manna
bróðir,nken,Rak nú skipið til sjávar og gegnt því sem Þórður var að smíðinni og Steingrímur,bróðir,hans hjá honum
bróðir,nkeþ,Var hann þar þá tekinn til konungs með Magnúsi,bróður,sínum
bróðir,nken,Þorvaldur tinteinn bjó norður í Svínadal en Þorvarður,bróðir,hans í Fljótum
bróðir,nken-s,fall konungs og Sigurðar jarls og,Bróður,og allra víkinganna
bróðir,nkfþ,« Eg var með báðum þeim,bræðrum,í kærleikum miklum og var mér hvorstveggja skaplyndi kunnigt
bróðir,nkfn,« Lýtingur af Sámsstöðum mun hafa vegið hann og,bræður,hans
bróðir,nken,Herjólfur frá Mývatni og Vémundur,bróðir,hans koma til kaupa
bróðir,nkfn,Leita þeir,bræður,þá ráðs við sína menn hvað tiltækilegast væri
bróðir,nkeþ,En Þorkell fór nú heim með Gísla,bróður,sínum og var nú mjög vel í frændsemi þeirra og þykir Gísli mikið hafa vaxið af þessum málum
bróðir,nkfn,Þórður fór til Reykja og,bræður,hans með honum
bróðir,nkfn,En Sturla bað hann þá til ferðar með sér suður um land og hétu þeir Sturla,bræður,honum báðir að fara með honum
bróðir,nken,« Haraldur,bróðir,þinn sendi þér kveðju og þau orð með að þú skyldir hafa grið og Norðimbraland allt og heldur en eigi viljir þú til hans hneigjast þá vill hann gefa þér þriðjung ríkis alls með sér
bróðir,nkfn,Þeir,bræður,báðu Þiðranda að hann mundi vilja fara út til Njarðvíkur og biðja Ketil að hann léti lausan Ásbjörn en gyldi þó sumarkaup eða ella tæki hann við liði sínu
bróðir,nkeo,Hún átti sér son er hét Eyjólfur og,bróður,er hét Tanni er kallaður var hinn handrammi og ekki var hann sem mennskir menn að afli og svo hvortveggi þeirra og Eyjólfur systurson hans og voru fullhugar að áræði
bróðir,nkfn,« því að þú átt ekki vígsmál eftir Sigfússonu og eiga,bræður,þeirra vígsmál eftir þá en Hámundur hinn halti eftir son sinn
bróðir,nken,,bróðir,Sigtryggs
bróðir,nkfn,» Þeir,bræður,sögðu að það mundi brátt reynt verða ef konungur vill þeim lof til gefa og segja að þeir hafa oft lagt á hættu mikla við þá menn er þeir áttu minna í að hefna og hafði þeim oftast orðið sigurs auðið
bróðir,nken,Þar var í ferð þá með honum Vermundur hinn mjóvi,bróðir,Styrs
bróðir,nken,Helgi var,bróðir,Þorkels er bjó í Hvammi í Norðurárdal
bróðir,nkeo,Skal og það vera og vil eg leysa undan Þorstein,bróður,minn því að það er skaði að honum verði nokkuð til meins en það er þó eigi örvænt ef þeir Finnbogi berjast því að hann er hinn mesti ofurhugi en hér er hvoriga að spara sem vér erum
bróðir,nken,ganga að lokrekkju þeirri sem Gísli hvíldi í og kona hans en Þorkell,bróðir,Gísla gengur upp fyrir í hvílugólfið og sér hvar að skór Gísla liggja
bróðir,nken,« Hvor okkar,bróðir,skal nú berjast við berserkinn í dag eða hver skal höggva kálfinn
bróðir,nkfn,allt þar til er þeir fengu sonu sína eða,bræður,eða aðra náfrændur í gísling til konungs
