LEMMA,TAG,SENTENCE,,
bróðir,nkee,« Ertu ær er þú vinnur,bróður,mér
bróðir,nkee,Nú er að segja frá Auði að hún gengur inn til,bróður,og mælti
bróðir,nkfe,Hann kemur til,bræðra,og kom eigi út síðan og hvorgi þeirra bræðra
bróðir,nkee,Voru þeir þaðan í ferð sex tigir manna og riðu inn um fjörðu og voru aðra,bróður,á Bakka að Þormóðar
bróðir,nkee,» Moldi sagði,bróður,
bróðir,nkee,Fer Gísli nú til Þorgerðar og er með henni annan,bróður,
bróðir,nkee,Aron lagði til,bróður,og bað hann þar að sækja
bróðir,nkfe,En þó við umtal,bræðra,og þá mikla vináttu er með þeim var og áeggjan bræðra sinna
bróðir,nkfe,Varð þar mikil orusta,bræðra,
bróðir,nkee,Þýddust hann þá margir ríkismenn,bróður,en Magnús
bróðir,nkee,Gísli ræðst nú heiman og inn til,bróður,og ríður á fund Þorkels bróður síns í Hvamm
bróðir,nkee,En það varð ráð þeirra að vilja Þorgerðar að hún skyldi búa,bróður,Eyri með umsjá Þorgeirs bróður síns
bróðir,nkfe,» Hávarður svaraði,bræðra,
bróðir,nkfe,» Eftir viðurtal þeirra bræðra gera þeir allir bræður heiman ferð sína með mikinn flokk manna og stefna á Upplönd þangað sem þeir spurðu að,bræðra,var á veislu
bróðir,nkee,Nú vil eg lýsa yfir mínu skapi og heyra hvort þar fylgi vilji,bróður,að þú
bróðir,nkfe,En þeir bræður í annan stað sóttu fast á móti þeim og létu dólgana dauða falla af borðum út,bræðra,
bróðir,nkee,« Hvað er,bróður,að segja úr héraðinu
bróðir,nkee,Vil eg ekki til,bróður,hætta að þeir fari griðalausir suður hingað
bróðir,nkfe,Hún tók kápu,bræðra,og fór í en síðan gekk hún til skála þeirra bræðra og til dyra
bróðir,nkee,» Nú gengu þeir Sámur og Þorbjörn og komu í búðina,bróður,
bróðir,nkee,Er þér það skjótt af að segja að eg hefi svo mikinn ástarhug til,bróður,fellt að eg fæ það eigi úr hug mér gert
bróðir,nkee,Nú er þar til,bróður,að taka að Þórarinn Ragabróðir spyr lát Glúms bróður síns
bróðir,nkfe,« að landshöfðingjar kjósi þann til,bræðra,er þeim þykir best vera til fallinn
bróðir,nkfe,Um morguninn eftir var Þorgeir mjög snemma,bræðra,ferli og talaði til þeirra bræðra að þeir skyldu upp standa
bróðir,nkee,Þá sendi hann orð til,bróður,vinum sínum að biðja skyldi Þorlák Runólfsson bróður Halls í Haukadal að hann léti vígjast til biskups
bróðir,nkfe,Þá gekk til Snorri goði og þreifaði um,bræðra,og fann að spjót stóð í gegnum fótinn milli hásinarinnar og fótleggsins og hafði níst allt samt
bróðir,nkee,« Eg er,bróður,miklu fúsari og muntu vera góður drengur
bróðir,nkee,Litla hríð hafði Ásbjörn verið,bróður,Reykjum er hann sagði Skeggja hverja ætlan hann hefði á við Þórð um málaferli
bróðir,nkfe,Spyrst þetta nú til,bræðra,og brá Víglundi mjög við þetta
bróðir,nkee,Voru á Þórðar skipi fallnir fjórir,bróður,og engi þá enn látinn
bróðir,nkfe,Var leitað við Árna konungsmág ef hann vildi láta taka til,bræðra,nokkurn sona sinna
bróðir,nkfe,Ljótur sér nú hvar komið var og fleygir,bræðra,sér sverðinu til þeirra bræðra en ætlar að steypa sér útbyrðis og sér þá ei undanbragð annað
bróðir,nkee,Bað Þorvaldur að Oddur færi á,bróður,Hrafnssona og letja þá þess að þeir gengju í þetta vandkvæði með þeim Jónssonum
bróðir,nkee,Þetta sama vor um föstu hafði Sighvatur sent norðan Magnús hinn,bróður,Odd oremus til Þórðar bróður síns og mælti allvingjarnlega til hans
bróðir,nkfe,En er voraði þá lýsa þeir Haraldur konungur og Guðröður konungur bróðir hans að þeir munu fara um,bræðra,í víking vestur um haf eða í Austurveg sem þeir voru vanir
bróðir,nkee,Og er þeir riðu út eftir Skógarströnd reið,bróður,mót þeim kona sú er Álfheiður hét
bróðir,nkee,Var honum haldið til,bróður,þegar hann mátti sér nokkuð
bróðir,nkee,Hann fór og utan á fund Eysteins konungs og naut þar mjög,bróður,mörgum mönnum bróður síns
bróðir,nkfe,» Einar svarar,bræðra,
bróðir,nkfe,skammt,bræðra,Geirastöðum
bróðir,nkee,En er liðsmenn urðu varir við að þeir voru þar þá gripu þeir til vopna,bróður,og gengu að þeim Jóni en þeir bjuggust við og var við sjálft að þar mundi alþýða berjast
bróðir,nkee,lét og þá flytja upp í húsin bæði drykkinn og vistina og ætlaði þar að sitja um jólin,bróður,
bróðir,nkfe,Þar voru þeir um hríð,bræðra,
bróðir,nkee,« stefna vettvangsbúum og nábúum saman og nefna votta fyrir búum og kjósa Kol til,bróður,að vígi Hjartar bróður þíns því að það er rétt
bróðir,nkfe,« Það er öllum,bræðra,kunnigt að hér í vetur hafa verið miklar tökur
bróðir,nkfe,Og riðu þeir í brott og lét Ögmundur illa yfir þeirra,bræðra,
bróðir,nkee,Hallfreður reið suður,bróður,Óttarsstaði til Galta bróður síns því að faðir hans var þá andaður
bróðir,nkfe,Nú vil eg að þið farið heim á bæinn á Hreiðarsstöðum en eg mun ríða eftir þeim bræðrum við annan mann því að eg vænti,bræðra,að sá einn verði fundur vor og þeirra bræðra að eg mun ekki mannfjölda við þurfa því að hér hafa hvorugir heiftarhug á öðrum
bróðir,nkee,Hann tók þar úr refil sextugan að lengd og höfuðdúk tuttugu álna langan og ofið í glit af gulli í þrem stöðum og,bróður,þrjár fáðar með gulli
bróðir,nkee,En mæla það sumir,bróður,herra að þér gerið ei allt sem guðréttilegast
bróðir,nkfe,Minntist Víglundur til,bræðra,en hún grét sárlega
bróðir,nkfe,» Hann tekur þá það til,bræðra,sem þeir vildu og skildust að því
bær,nkee,að til tíðinda yrði,bæjar,yrði
bær,nkfe,Finnbogi gerðist formaður vestur þar og vildu svo allir sitja og standa sem hann vildi og þótti þeim þar,bæja,gott
